timestamp,equipamento,potencia_dbm,snr_db,estado
2026-03-02 07:00:00,ONU-SUL-4512,-23.83,27.1,UP
2026-03-02 07:00:00,ONU-LESTE-77,-24.54,20.4,UP
2026-03-02 08:00:00,OLT-CENTRO-01,-18.02,27.1,UP
2026-03-02 08:00:00,OLT-NORTE-02,-19.76,27.3,UP
2026-03-02 08:00:00,OLT-SUL-03,-20.48,22.3,UP
2026-03-02 08:00:00,ONU-SUL-4512,-25.84,21.0,UP
2026-03-02 08:00:00,ONU-LESTE-77,-25.98,27.8,UP
2026-03-02 09:00:00,OLT-CENTRO-01,-20.21,20.6,UP
2026-03-02 09:00:00,OLT-NORTE-02,-22.04,31.3,UP
2026-03-02 09:00:00,OLT-SUL-03,-22.55,29.4,UP
2026-03-02 09:00:00,ONU-SUL-4512,-25.49,28.6,UP
2026-03-02 09:00:00,ONU-LESTE-77,-24.62,23.0,UP
2026-03-02 10:00:00,OLT-CENTRO-01,-21.12,29.3,UP
2026-03-02 10:00:00,OLT-NORTE-02,-19.89,21.3,UP
2026-03-02 10:00:00,OLT-SUL-03,-19.9,20.8,UP
2026-03-02 10:00:00,ONU-SUL-4512,-24.14,19.8,UP
2026-03-02 10:00:00,ONU-LESTE-77,-25.36,22.2,UP
2026-03-02 11:00:00,OLT-CENTRO-01,-20.35,22.6,UP
2026-03-02 11:00:00,OLT-NORTE-02,-20.75,21.0,UP
2026-03-02 11:00:00,OLT-SUL-03,-20.03,27.1,UP
2026-03-02 11:00:00,ONU-SUL-4512,-23.1,20.9,UP
2026-03-02 11:00:00,ONU-LESTE-77,-25.79,33.5,UP
2026-03-02 12:00:00,OLT-CENTRO-01,-17.68,26.1,UP
2026-03-02 12:00:00,OLT-NORTE-02,-23.78,27.2,UP
2026-03-02 12:00:00,OLT-SUL-03,-20.19,26.8,UP
2026-03-02 12:00:00,ONU-SUL-4512,-27.18,24.0,UP
2026-03-02 12:00:00,ONU-LESTE-77,-23.36,26.0,UP
2026-03-02 13:00:00,OLT-CENTRO-01,-18.21,20.9,UP
2026-03-02 13:00:00,OLT-NORTE-02,-18.08,26.5,UP
2026-03-02 13:00:00,OLT-SUL-03,-21.32,21.7,UP
2026-03-02 13:00:00,ONU-SUL-4512,-27.94,29.3,UP
2026-03-02 13:00:00,ONU-LESTE-77,-26.02,31.5,UP
2026-03-02 14:00:00,OLT-CENTRO-01,-19.22,19.3,UP
2026-03-02 14:00:00,OLT-NORTE-02,-21.16,24.1,UP
2026-03-02 14:00:00,OLT-SUL-03,-22.7,28.3,UP
2026-03-02 14:00:00,ONU-SUL-4512,-25.41,20.5,UP
2026-03-02 14:00:00,ONU-LESTE-77,-25.83,23.0,UP
2026-03-02 15:00:00,OLT-CENTRO-01,-20.51,32.1,UP
2026-03-02 15:00:00,OLT-NORTE-02,-19.98,18.9,UP
2026-03-02 15:00:00,OLT-SUL-03,-21.53,27.1,UP
2026-03-02 15:00:00,ONU-SUL-4512,-24.29,26.3,UP
2026-03-02 15:00:00,ONU-LESTE-77,-25.99,27.4,UP
2026-03-02 16:00:00,OLT-CENTRO-01,-20.54,28.2,UP
2026-03-02 16:00:00,OLT-NORTE-02,-19.57,18.2,UP
2026-03-02 16:00:00,OLT-SUL-03,-19.01,25.3,UP
2026-03-02 16:00:00,ONU-SUL-4512,-25.11,30.9,UP
2026-03-02 16:00:00,ONU-LESTE-77,-25.09,24.1,UP
2026-03-02 17:00:00,OLT-CENTRO-01,-19.15,22.6,UP
2026-03-02 17:00:00,OLT-NORTE-02,-23.62,28.1,UP
2026-03-02 17:00:00,OLT-SUL-03,-18.62,20.3,UP
2026-03-02 17:00:00,ONU-SUL-4512,-26.85,32.6,UP
2026-03-02 17:00:00,ONU-LESTE-77,-28.01,28.6,UP
2026-03-02 18:00:00,OLT-CENTRO-01,-21.27,26.0,UP
2026-03-02 18:00:00,OLT-NORTE-02,-17.65,26.6,UP
2026-03-02 18:00:00,OLT-SUL-03,-20.26,22.6,UP
2026-03-02 18:00:00,ONU-SUL-4512,-23.77,27.6,UP
2026-03-02 18:00:00,ONU-LESTE-77,-22.27,28.3,UP
2026-03-02 19:00:00,OLT-CENTRO-01,-19.4,18.2,UP
2026-03-02 19:00:00,OLT-NORTE-02,-22.67,28.1,UP
2026-03-02 19:00:00,OLT-SUL-03,-22.25,26.3,UP
2026-03-02 19:00:00,ONU-SUL-4512,-25.72,28.5,UP
2026-03-02 19:00:00,ONU-LESTE-77,-26.2,31.3,UP
2026-03-02 20:00:00,OLT-CENTRO-01,-21.82,22.4,UP
2026-03-02 20:00:00,OLT-NORTE-02,-22.66,25.1,UP
2026-03-02 20:00:00,OLT-SUL-03,-17.16,24.8,UP
2026-03-02 20:00:00,ONU-SUL-4512,-26.9,21.4,UP
2026-03-02 20:00:00,ONU-LESTE-77,-29.14,26.3,DOWN
2026-03-02 21:00:00,OLT-CENTRO-01,-19.69,23.1,UP
2026-03-02 21:00:00,OLT-NORTE-02,-22.68,18.6,UP
2026-03-02 21:00:00,OLT-SUL-03,-20.0,29.9,UP
2026-03-02 21:00:00,ONU-SUL-4512,-26.63,27.7,UP
2026-03-02 21:00:00,ONU-LESTE-77,-24.33,33.5,UP
2026-03-02 22:00:00,OLT-CENTRO-01,-22.92,27.9,UP
2026-03-02 22:00:00,OLT-NORTE-02,-20.4,26.4,UP
2026-03-02 22:00:00,OLT-SUL-03,-19.69,20.7,UP
2026-03-02 22:00:00,ONU-SUL-4512,-23.48,23.7,UP
2026-03-02 22:00:00,ONU-LESTE-77,-23.9,22.2,UP
2026-03-02 23:00:00,OLT-CENTRO-01,-17.73,27.0,UP
2026-03-02 23:00:00,OLT-NORTE-02,-19.16,25.7,UP
2026-03-02 23:00:00,OLT-SUL-03,-24.19,26.4,UP
2026-03-02 23:00:00,ONU-SUL-4512,-26.47,33.5,UP
2026-03-02 23:00:00,ONU-LESTE-77,-27.39,26.4,UP
2026-03-03 00:00:00,OLT-CENTRO-01,-21.85,18.0,UP
2026-03-03 00:00:00,OLT-NORTE-02,-22.36,19.6,UP
2026-03-03 00:00:00,OLT-SUL-03,-22.92,28.3,UP
2026-03-03 00:00:00,ONU-SUL-4512,-27.78,18.8,UP
2026-03-03 00:00:00,ONU-LESTE-77,-26.38,25.5,UP
